主义名称,场域论,场域论：调和侧,场域论,场域论:实践单元,本体论,本体论,本体论,认识论,认识论,认识论,目的论,目的论,目的论,代表人物
4-1-1-1 经济学哲学批判,历史(现实的辩证法),人民,理论家所预言的真正的历史,搞报刊,有欲望、有激情、有创伤的物质，也就是生命,,,客体间性所引发的意识发生学,,,政治经济学批判、下命令书,,,早期马克思
4-1-1-2 内外评论,国际立约立法的现实史,识字的进步工人,理论家 (历史蓝图),第一国际(由各地的通讯网络组成),客体间性,,,理论家的内外评论就是普罗大众的意志的表达,,,对于异化的批判、下斗争命令,vs,掌握进退节奏收兵、和平性,中晚年实践中的马克思
4-1-1-3 国际性的 理论协调,现实的历史,1876年之后的 人民,理论家 (反对战争),第二国际(由中心化的“理论权威”来做协调员的理论家共同体),客体间性发展成主体间性，公共意识,,,理论坐标系,,,局部直接下令,统一决议,整体的统筹,1876年之后的恩格斯
4-1-1-4 中派中的 独立生存,历史 (濒战),工兵,理论家 (获得代表性),仓促成形的鼓动单元,主体间性，幻想有一个整全的城邦(当争取对象),,,都能说话,,,等待时机(苟存/拖延),,,后E前L时代的探索者、后恩格斯的实在论者、经验论者
4-1-2-1 学习\研究,自己的 个人生存史,1字头的自己 (作为对象),自己成为理论家,作为实践主体的自己,现实=理论,,,布尔乔亚理论中的自圆其说,vs,普罗大众理论中的明确行动,通俗化popularize,,,L
4-1-2-2 写作与交谈,话语的 传播史,读者、交谈者、听者,现实的理论家guider,材料生产者+产品分发者或对谈,discourse=power,,,political,vs,教育性(为什么会听，天然符合听者利益),通俗化,vs,严肃,L
4-1-2-3 正派青年的 交友和团结,理论争论史,人民,作为leader的 理论家,文创创业团队,让自己显得正常、让自己被市场对象化,,,自己人：普,vs,旁人：布,通俗化,人会换， 共同精神永存,严肃,普列汉诺夫
4-1-2-4 现实的本体论化,Ontic,人数的可数性,Ontologization,中心化的原始层(扩大会议),Ontological=Ontic,,,讲纪律,vs,自由散漫(自发的习气),历史借理论家在本体论化，把乌托邦现实化的努力注定失败(形式主义化、教条化),,,一切身家性命都系缚于political的人物
4-1-3-1 方法论上的 总体化,历史,人民,理论家（行动上的方法论）,能争论的、哲学素养高的Hegelian Marxist学术共同体,历史=生成：现实的人的实践,,,唯物辩证法（瞄准要改变现实）,历史总体性,黑格尔的辩证法（解释现实）,拧绳,,,列宁、卢卡奇
4-1-3-2 教条的哲学化,思想史,人民,普遍的意识形态化、哲学化,教科书体系,总体性,,,科学（社会学、实践性的）,意识形态（辩论性、说服性）,哲学,拧绳,vs,占位子,科尔施、斯大林
4-1-3-3 体系化的 理论探索,工人运动史,人民,大胆运用布尔乔亚学术范式,马克思主义工作周（风暴外围、政治性不能太浓）,社会存在（超意识形态的）,,,纯应用性的、布尔乔亚的科学,跨学科的 社会研究,总体的、批判性的哲学,拧绳,逍遥派、占未来的位子,占位子,奥地利马克思主义学派、Gruberg
4-1-3-4 争夺文化霸权,市民社会发展史,有知识分子在其中组织着的人民,有机知识分子,一个文化/观念阵地上的有机知识分子共同体,实践论，文化霸权抵达物质性、政治霸权,,,哲学,意识形态斗争获得文化主导权,科学,画大饼,,,葛兰西
4-1-4-1 对意识形态的 历史化,绝对失败状态,背道而行的人民,恢复正统性,公开持续言说平台的人物，且是有明确身份的自己人，才能维护正统性,“意识形态没有历史”、是社会的无意识,,,断裂的、辩证法化的历史（多元博弈、超定论、没有因果链）,,,维护4字头实践的正统性,,,阿尔都塞
4-1-4-2 哲学的再现代化,西方的后现代范式,（动荡社会）苦难中的人民,重新扬起现代性大旗,执“哲学本身”牛耳的左翼哲学家,柏拉图主义、理念主义的数学本体论,,,普遍的事件性不可避免；没有闭合的认识论,,,维护正统性、修复声誉,vs,拉别人入坑、思想界论战化,巴迪欧
4-1-4-3 持续的否定,一堆拟象、似是而非的,人民,理论家主动小丑化,被主流看作一堆疯子、会开自己的国际会议、会捞钱养活自己,理论意识、理论活动的辩证法,,,崇高的癔症（Marxist、Lacanian、Hegelian、大众娱乐）,,,维护正统性,“不是这个”,拉入泥潭,齐泽克
4-1-4-4 现实生活,Revo的常态化,人民,人民变成的理论家,一切私人共同体单元（亲缘关系）,物质对于主观意志的否定性、僵死的必然性。穷、无路可寻,,,知识分子都是绝望的；上面人没招了装不下去了、下面人开始解放思维了,,,创造历史，物质性机制的自我更新（不可预言）,,,所有的老百姓、人民（天然的理论家）工农大众、非食利阶层
4-2-1-1 获取典型性,人民,理论者,历史,representativeness,无人代表人民的现实,vs,身份有根，自我认同,争取合法存在,,,维持,,,威廉李扑克内西
4-2-1-2 操作系统程序,人民,理论者,历史,执行……会executional commit,suffrage无用,vs,undergroundness,理论家指导,,,台面上的代表性,vs,现实策略的优先性,倍倍尔
4-2-1-3 代表那个体系,人民,行动者,历史,分支的头头，分支头头搭的草台班子,无情的变迁的物质史,vs,主义动摇的大众,经济决定论,,,台面上的代表性,代表那个系统,现实策略的优先性,拉法格
4-2-1-4 台面上的 权宜之计,人民,行动者,历史,台面上的首领,战争矛盾尖锐,vs,普罗大众无所适从,形而上的历史观,,,权宜之计,,,饶勒斯
4-2-2-1 受信任的联合,人民,行动者,历史,自发生长的细胞基层支,台面上被压倒,vs,台面下危险,公开的,vs,秘密的,生成“活的细胞”,,,
4-2-2-2 清楚的区分,人民,行动者,历史,自发生长的细胞基层支,外部资源,vs,安全问题,“火星”（马克思的指示）,vs,自己搞一套,促进 “细胞生长”,vs,去除有害物（分清敌我）,
4-2-2-3 前沿注意,人民,行动者,历史,the front committee,梦中（欧洲）,vs,前线,紧迫对措（先付出代价，再调整）,vs,前瞻预言（直接性、导引性）,促进 “细胞生长”,外周神经，使机体获得感官,去除有害物（分清敌我）,
